Commodity,Record Date,Farm Price,Atlanta Retail,Chicago Retail,Los Angeles Retail,New York Retail,Average Spread
Green Leaf Lettuce,2018-11-11,$0.69,$1.59,$1.76,$1.42,$1.82,138.77%
Green Leaf Lettuce,2018-11-04,$0.66,$1.59,$1.63,$1.42,$1.67,139.02%
Green Leaf Lettuce,2018-10-28,$0.55,$1.59,$1.57,$1.42,$1.67,184.09%
Green Leaf Lettuce,2018-10-21,$0.45,$1.74,$1.71,$1.42,$1.50,253.89%
Green Leaf Lettuce,2018-10-14,$0.43,$1.59,$1.63,$1.42,$1.52,258.14%
Green Leaf Lettuce,2018-10-07,$0.58,$1.59,$1.71,$1.32,$1.44,161.21%
Green Leaf Lettuce,2018-09-30,$0.67,$1.59,$1.63,$1.42,$1.47,127.99%
Green Leaf Lettuce,2018-09-23,$0.56,$1.59,$1.71,$1.42,$1.47,176.34%
Green Leaf Lettuce,2018-09-16,$0.37,$1.59,$1.63,$1.42,$1.47,312.84%
Green Leaf Lettuce,2018-09-09,$0.35,$1.69,$1.71,$1.42,$1.47,349.29%
Green Leaf Lettuce,2018-09-02,$0.35,$1.36,$1.63,$1.42,$1.47,320.00%
Green Leaf Lettuce,2018-08-26,$0.34,$1.69,$1.57,$1.42,$1.47,352.21%
Green Leaf Lettuce,2018-08-19,$0.35,$1.69,$1.78,$1.42,$1.47,354.29%
Green Leaf Lettuce,2018-08-12,$0.34,$1.69,$1.63,$1.42,$1.47,356.62%
Green Leaf Lettuce,2018-08-05,$0.30,$1.69,$1.48,$1.42,$1.47,405.00%
Green Leaf Lettuce,2018-07-29,$0.30,$1.69,$1.59,$1.42,$1.64,428.33%
Green Leaf Lettuce,2018-07-22,$0.32,$1.69,$1.71,$1.42,$1.47,391.41%
Green Leaf Lettuce,2018-07-15,$0.34,$1.69,$1.59,$1.34,$1.47,347.79%
Green Leaf Lettuce,2018-07-08,$0.33,$1.69,$1.71,$1.42,$1.64,389.39%
Green Leaf Lettuce,2018-07-01,$0.30,$1.62,$1.63,$1.42,$1.51,415.00%
Green Leaf Lettuce,2018-06-24,$0.29,$1.62,$1.71,$1.42,$1.64,450.86%
Green Leaf Lettuce,2018-06-17,$0.30,$1.62,$1.63,$1.42,$1.51,415.00%
Green Leaf Lettuce,2018-06-10,$0.30,$1.62,$1.71,$1.42,$1.64,432.50%
Green Leaf Lettuce,2018-02-11,$0.30,$1.42,$1.68,$1.47,$1.57,411.67%
Green Leaf Lettuce,2018-02-04,$0.30,$1.42,$1.61,$1.47,$1.62,410.00%
Green Leaf Lettuce,2018-01-28,$0.29,$1.42,$1.65,$1.42,$1.57,422.41%
Green Leaf Lettuce,2018-01-21,$0.29,$1.42,$1.73,$1.34,$1.64,428.45%
Green Leaf Lettuce,2018-01-14,$0.30,$1.32,$1.65,$1.42,$1.57,396.67%
Green Leaf Lettuce,2018-01-07,$0.35,$1.32,$1.73,$1.42,$1.57,331.43%
Green Leaf Lettuce,2017-12-31,$0.34,$1.42,$1.88,$1.42,$1.55,361.03%
Green Leaf Lettuce,2017-12-24,$0.33,$1.52,$1.92,$1.42,$1.72,398.48%
Green Leaf Lettuce,2017-12-17,$1.26,$2.77,$2.41,$2.99,$2.16,104.96%
Green Leaf Lettuce,2017-12-10,$0.34,$1.52,$1.92,$1.42,$1.62,376.47%
Green Leaf Lettuce,2017-12-03,$0.32,$1.49,$1.87,$1.42,$1.54,393.75%
Green Leaf Lettuce,2017-11-26,$0.30,$1.52,$1.68,$1.42,$1.62,420.00%
Green Leaf Lettuce,2017-11-19,$0.31,$1.52,$1.75,$1.42,$1.62,408.87%
Green Leaf Lettuce,2017-11-12,$0.35,$1.52,$1.69,$1.42,$1.64,347.86%
Green Leaf Lettuce,2017-11-05,$0.36,$1.52,$1.61,$1.42,$1.70,334.03%
Green Leaf Lettuce,2017-10-29,$0.37,$1.52,$1.69,$1.32,$1.64,316.89%
Green Leaf Lettuce,2017-10-22,$0.36,$1.52,$1.75,$1.42,$1.70,343.75%
Green Leaf Lettuce,2017-10-15,$0.41,$1.52,$1.75,$1.32,$1.64,279.88%
Green Leaf Lettuce,2017-10-08,$0.43,$1.52,$1.61,$1.32,$1.75,260.47%
Green Leaf Lettuce,2017-10-01,$0.40,$1.52,$1.69,$1.32,$1.67,287.50%
Green Leaf Lettuce,2017-09-24,$0.36,$1.52,$1.75,$1.47,$1.72,348.61%
Green Leaf Lettuce,2017-09-17,$0.32,$1.52,$1.62,$1.47,$1.52,378.91%
Green Leaf Lettuce,2017-09-10,$0.38,$1.52,$1.58,$1.52,$1.72,317.11%
Green Leaf Lettuce,2017-09-03,$0.41,$1.52,$1.67,$1.47,$1.52,276.83%
Green Leaf Lettuce,2017-08-27,$0.31,$1.42,$1.23,$1.39,$1.72,364.52%
Green Leaf Lettuce,2017-08-20,$0.29,$1.42,$1.58,$1.39,$1.64,419.83%
Green Leaf Lettuce,2017-08-13,$0.29,$1.42,$1.67,$1.47,$1.76,444.83%
Green Leaf Lettuce,2017-08-06,$0.29,$1.55,$1.58,$1.39,$1.95,457.76%
Green Leaf Lettuce,2017-07-30,$0.29,$1.75,$1.67,$1.39,$1.93,481.03%
Green Leaf Lettuce,2017-07-23,$0.29,$1.99,$1.33,$1.39,$1.97,475.86%
Green Leaf Lettuce,2017-07-16,$0.33,$1.75,$1.38,$1.39,$1.66,368.18%
Green Leaf Lettuce,2017-07-09,$0.32,$1.75,$1.42,$1.39,$1.87,402.34%
Green Leaf Lettuce,2017-07-02,$0.32,$1.75,$1.91,$1.39,$1.65,423.44%
Green Leaf Lettuce,2017-06-25,$0.31,$1.99,$1.83,$1.44,$1.87,475.00%
Green Leaf Lettuce,2017-06-18,$0.31,$1.65,$1.91,$1.44,$1.76,445.16%
Green Leaf Lettuce,2017-06-11,$0.29,$1.65,$1.83,$1.39,$1.87,481.03%
Green Leaf Lettuce,2017-06-04,$0.29,$1.65,$1.91,$1.39,$1.76,478.45%
Green Leaf Lettuce,2017-05-28,$0.29,$1.65,$1.71,$1.74,$1.82,496.55%
Green Leaf Lettuce,2017-05-21,$0.33,$1.65,$1.83,$1.44,$1.82,410.61%
Green Leaf Lettuce,2017-05-14,$0.39,$1.75,$1.91,$1.49,$1.76,342.95%
Green Leaf Lettuce,2017-05-07,$0.45,$1.52,$1.83,$1.49,$1.87,272.78%
Green Leaf Lettuce,2017-04-30,$0.52,$1.55,$1.91,$1.49,$2.32,249.52%
Green Leaf Lettuce,2017-04-23,$1.14,$1.85,$1.83,$1.64,$2.33,67.76%
Green Leaf Lettuce,2017-04-16,$2.08,$1.85,$2.26,$1.64,$2.22,-4.21%
Green Leaf Lettuce,2017-04-09,$2.14,$1.58,$1.83,$1.64,$1.74,-20.68%
Green Leaf Lettuce,2017-04-02,$2.14,$1.58,$1.79,$1.49,$1.66,-23.83%
Green Leaf Lettuce,2017-03-26,$1.73,$1.32,$1.50,$1.49,$1.77,-12.14%
Green Leaf Lettuce,2017-03-19,$1.04,$1.32,$1.50,$1.49,$1.77,46.15%
Green Leaf Lettuce,2017-03-12,$0.70,$1.32,$1.45,$1.49,$1.66,111.43%
Green Leaf Lettuce,2017-03-05,$0.60,$1.32,$1.50,$1.49,$1.77,153.33%
Green Leaf Lettuce,2017-02-26,$0.64,$1.32,$1.83,$1.49,$1.66,146.09%
Green Leaf Lettuce,2017-02-19,$0.75,$1.48,$1.25,$1.49,$1.74,98.67%
Green Leaf Lettuce,2017-02-12,$0.62,$1.32,$1.30,$1.49,$1.66,132.66%
Green Leaf Lettuce,2017-02-05,$0.41,$1.32,$1.23,$1.42,$1.82,253.05%
Green Leaf Lettuce,2017-01-29,$0.34,$1.32,$1.30,$1.39,$1.66,316.91%
Green Leaf Lettuce,2017-01-22,$0.31,$1.32,$1.23,$1.39,$1.82,364.52%
Green Leaf Lettuce,2017-01-15,$0.30,$1.32,$1.48,$1.39,$1.66,387.50%
Green Leaf Lettuce,2017-01-08,$0.30,$1.28,$1.38,$1.39,$1.77,385.00%
Green Leaf Lettuce,2017-01-01,$0.33,$1.28,$1.43,$1.57,$1.66,350.00%
