"","commodity","farm_price","chicago_retail","yw"
"88","GL",0.35,1.71,2018 W36
"89","GL",0.37,1.63,2018 W37
"90","GL",0.56,1.71,2018 W38
"91","GL",0.67,1.63,2018 W39
"92","GL",0.58,1.71,2018 W40
"93","GL",0.43,1.63,2018 W41
"94","GL",0.45,1.71,2018 W42
"95","GL",0.55,1.57,2018 W43
"96","GL",0.66,1.63,2018 W44
"97","GL",0.69,1.76,2018 W45
"98","GL",NA,NA,2018 W46
"99","GL",1.84,1.75,2018 W47
"100","GL",1.36,1.7,2018 W48
"101","GL",2.03,1.72,2018 W49
"102","GL",0.9,1.92,2018 W50
"103","GL",0.64,1.92,2018 W51
"104","GL",0.61,1.84,2018 W52
"105","GL",0.64,1.84,2019 W01
"106","GL",0.66,1.85,2019 W02
"107","GL",0.51,1.75,2019 W03
"108","GL",0.41,1.75,2019 W04
"109","GL",0.38,1.9,2019 W05
"110","GL",0.42,1.9,2019 W06
"111","GL",0.65,1.93,2019 W07
"112","GL",0.82,1.93,2019 W08
"113","GL",0.65,1.78,2019 W09
"114","GL",0.48,1.93,2019 W10
"115","GL",0.38,1.78,2019 W11
"116","GL",0.34,1.93,2019 W12
"117","GL",0.34,1.8,2019 W13
"118","GL",0.39,1.93,2019 W14
"119","GL",0.43,1.82,2019 W15
"120","GL",0.43,1.77,2019 W16
"121","GL",0.35,1.7,2019 W17
"122","GL",0.34,1.71,2019 W18
"123","GL",0.35,1.7,2019 W19
"124","GL",0.31,1.7,2019 W20
"125","IC",0.3,1.44,2017 W01
"126","IC",0.31,1.04,2017 W02
"127","IC",0.32,1.09,2017 W03
"128","IC",0.42,1.19,2017 W04
"129","IC",0.59,1.44,2017 W05
"130","IC",0.78,1.44,2017 W06
"131","IC",0.69,1.44,2017 W07
"132","IC",0.47,1.44,2017 W08
"133","IC",0.34,1.44,2017 W09
"134","IC",0.49,1.44,2017 W10
"135","IC",0.72,1.44,2017 W11
"136","IC",0.86,1.44,2017 W12
"137","IC",1.41,1.44,2017 W13
"138","IC",1.82,1.44,2017 W14
"139","IC",1.87,1.92,2017 W15
"140","IC",1.71,1.54,2017 W16
"141","IC",0.66,1.66,2017 W17
"142","IC",0.44,1.79,2017 W18
"143","IC",0.61,1.79,2017 W19
"144","IC",0.36,1.79,2017 W20
"145","IC",0.51,1.79,2017 W21
"146","IC",0.53,1.41,2017 W22
"147","IC",0.46,1.29,2017 W23
"148","IC",0.43,1.22,2017 W24
"149","IC",0.45,1.29,2017 W25
"150","IC",0.5,1.24,2017 W26
"151","IC",0.61,1.29,2017 W27
"152","IC",0.52,1.16,2017 W28
"153","IC",0.48,1.31,2017 W29
"154","IC",0.38,1.31,2017 W30
"155","IC",0.34,1.31,2017 W31
"156","IC",0.42,1.31,2017 W32
"157","IC",0.48,1.31,2017 W33
"158","IC",0.38,1.31,2017 W34
"159","IC",0.36,1.41,2017 W35
"160","IC",0.36,1.39,2017 W36
"161","IC",0.31,1.18,2017 W37
"162","IC",0.92,1.34,2017 W38
"163","IC",1.13,1.31,2017 W39
"164","IC",1.56,1.31,2017 W40
"165","IC",1.23,1.31,2017 W41
"166","IC",0.5,1.61,2017 W42
"167","IC",0.43,1.66,2017 W43
"168","IC",0.34,1.74,2017 W44
"169","IC",0.33,1.28,2017 W45
"170","IC",0.31,1.41,2017 W46
"171","IC",0.32,1.41,2017 W47
"172","IC",0.33,1.23,2017 W48
"173","IC",0.39,1.41,2017 W49
"174","IC",0.35,1.49,2017 W50
"175","IC",0.35,1.44,2017 W51
"176","IC",0.38,1.36,2017 W52
"177","IC",0.39,1.41,2018 W01
"178","IC",0.33,1.46,2018 W02
"179","IC",0.32,1.46,2018 W03
"180","IC",0.31,1.46,2018 W04
"181","IC",0.32,1.46,2018 W05
"182","IC",0.32,1.46,2018 W06
"183","IC",0.41,1.46,2018 W07
"184","IC",0.64,1.41,2018 W08
"185","IC",NA,NA,2018 W09
"186","IC",0.79,1.41,2018 W10
"187","IC",0.61,1.41,2018 W11
"188","IC",0.42,1.41,2018 W12
"189","IC",0.37,1.36,2018 W13
"190","IC",0.43,1.24,2018 W14
"191","IC",0.46,1.19,2018 W15
"192","IC",0.63,1.49,2018 W16
"193","IC",0.77,1.36,2018 W17
"194","IC",0.8,1.36,2018 W18
"195","IC",0.5,1.36,2018 W19
"196","IC",0.34,1.24,2018 W20
"197","IC",0.33,1.36,2018 W21
"198","IC",0.32,1.36,2018 W22
"199","IC",0.68,0.94,2018 W23
"200","IC",0.71,1.06,2018 W24
"201","IC",0.52,1.31,2018 W25
"202","IC",0.41,1.39,2018 W26
"203","IC",0.4,1.39,2018 W27
"204","IC",0.55,1.39,2018 W28
"205","IC",0.37,1.31,2018 W29
"206","IC",0.35,1.44,2018 W30
"207","IC",0.5,1.31,2018 W31
"208","IC",0.81,1.31,2018 W32
"209","IC",0.54,1.31,2018 W33
"210","IC",0.42,1.31,2018 W34
"211","IC",0.4,1.39,2018 W35
"212","IC",0.38,1.31,2018 W36
"213","IC",0.5,1.14,2018 W37
"214","IC",0.75,1.39,2018 W38
"215","IC",0.58,1.39,2018 W39
"216","IC",0.42,1.31,2018 W40
"217","IC",0.4,1.39,2018 W41
"218","IC",0.76,1.31,2018 W42
"219","IC",0.9,1.39,2018 W43
"220","IC",0.74,1.39,2018 W44
"221","IC",0.79,1.39,2018 W45
"222","IC",0.72,1.39,2018 W46
"223","IC",1.91,1.52,2018 W47
"224","IC",2.16,1.51,2018 W48
"225","IC",1.84,2.01,2018 W49
"226","IC",0.45,2.11,2018 W50
"227","IC",0.39,1.69,2018 W51
"228","IC",0.47,1.54,2018 W52
"229","IC",0.74,1.86,2019 W01
"230","IC",0.78,1.66,2019 W02
"231","IC",0.41,1.61,2019 W03
"232","IC",0.37,1.61,2019 W04
"233","IC",0.4,1.31,2019 W05
"234","IC",0.41,1.56,2019 W06
"235","IC",0.88,1.31,2019 W07
"236","IC",1.34,1.44,2019 W08
"237","IC",1.03,1.56,2019 W09
"238","IC",0.75,1.56,2019 W10
"239","IC",0.92,1.56,2019 W11
"240","IC",0.56,1.61,2019 W12
"241","IC",0.51,1.56,2019 W13
"242","IC",0.5,1.61,2019 W14
"243","IC",0.57,1.61,2019 W15
"244","IC",0.42,1.56,2019 W16
"245","IC",0.35,1.56,2019 W17
"246","IC",0.38,1.46,2019 W18
"247","IC",0.36,1.46,2019 W19
"248","IC",0.35,1.46,2019 W20
"249","RL",0.32,1.28,2017 W01
"250","RL",0.29,1.55,2017 W02
"251","RL",0.31,1.28,2017 W03
"252","RL",0.34,1.32,2017 W04
"253","RL",0.41,1.28,2017 W05
"254","RL",0.6,1.32,2017 W06
"255","RL",0.7,1.3,2017 W07
"256","RL",0.6,1.86,2017 W08
"257","RL",0.58,1.57,2017 W09
"258","RL",0.56,1.49,2017 W10
"259","RL",0.6,1.57,2017 W11
"260","RL",0.86,1.57,2017 W12
"261","RL",1.21,1.55,2017 W13
"262","RL",1.64,1.93,2017 W14
"263","RL",1.73,2.32,2017 W15
"264","RL",1.16,1.93,2017 W16
"265","RL",0.52,1.98,2017 W17
"266","RL",0.45,1.93,2017 W18
"267","RL",0.35,1.98,2017 W19
"268","RL",0.33,1.93,2017 W20
"269","RL",0.29,1.79,2017 W21
"270","RL",0.29,1.98,2017 W22
"271","RL",0.29,1.93,2017 W23
"272","RL",0.31,1.98,2017 W24
"273","RL",0.31,1.93,2017 W25
"274","RL",0.32,1.98,2017 W26
"275","RL",0.31,1.48,2017 W27
"276","RL",0.33,1.41,2017 W28
"277","RL",0.3,1.75,2017 W29
"278","RL",0.29,1.71,2017 W30
"279","RL",0.29,1.66,2017 W31
"280","RL",0.29,1.71,2017 W32
"281","RL",0.29,1.66,2017 W33
"282","RL",0.29,1.28,2017 W34
"283","RL",0.41,1.71,2017 W35
"284","RL",0.38,1.66,2017 W36
"285","RL",0.32,1.66,2017 W37
"286","RL",0.36,2.08,2017 W38
"287","RL",0.4,1.73,2017 W39
"288","RL",0.41,1.68,2017 W40
"289","RL",0.38,1.8,2017 W41
"290","RL",0.36,1.82,2017 W42
"291","RL",0.37,1.73,2017 W43
"292","RL",0.35,1.68,2017 W44
"293","RL",0.36,1.66,2017 W45
"294","RL",0.34,1.82,2017 W46
"295","RL",0.31,1.75,2017 W47
"296","RL",0.31,1.92,2017 W48
"297","RL",0.35,2,2017 W49
"298","RL",0.34,1.78,2017 W50
"299","RL",0.34,2,2017 W51
"300","RL",0.34,1.96,2017 W52
"301","RL",0.35,1.78,2018 W01
"302","RL",0.3,1.73,2018 W02
"303","RL",0.29,1.7,2018 W03
"304","RL",0.29,1.73,2018 W04
"305","RL",0.3,1.68,2018 W05
"306","RL",0.3,1.73,2018 W06
"307","RL",0.34,1.56,2018 W07
"308","RL",0.44,1.75,2018 W08
"309","RL",NA,NA,2018 W09
"310","RL",0.46,2,2018 W10
"311","RL",0.43,1.71,2018 W11
"312","RL",0.41,1.73,2018 W12
"313","RL",0.39,1.71,2018 W13
"314","RL",0.55,1.83,2018 W14
"315","RL",0.56,1.71,2018 W15
"316","RL",0.68,1.83,2018 W16
"317","RL",0.69,1.71,2018 W17
"318","RL",0.7,1.88,2018 W18
"319","RL",0.54,1.68,2018 W19
"320","RL",0.38,1.83,2018 W20
"321","RL",0.34,1.68,2018 W21
"322","RL",0.31,1.78,2018 W22
"323","RL",0.29,1.75,2018 W23
"324","RL",0.29,1.71,2018 W24
"325","RL",0.29,1.75,2018 W25
"326","RL",0.31,1.71,2018 W26
"327","RL",0.3,1.75,2018 W27
"328","RL",0.3,1.66,2018 W28
"329","RL",0.3,1.75,2018 W29
"330","RL",0.29,1.66,2018 W30
"331","RL",0.3,1.52,2018 W31
"332","RL",0.3,1.71,2018 W32
"333","RL",0.32,1.75,2018 W33
"334","RL",0.29,1.64,2018 W34
"335","RL",0.32,1.71,2018 W35
"336","RL",0.33,1.75,2018 W36
"337","RL",0.3,1.71,2018 W37
"338","RL",0.34,4.64,2018 W38
"339","RL",0.36,1.71,2018 W39
"340","RL",0.36,1.75,2018 W40
"341","RL",0.32,1.71,2018 W41
"342","RL",0.32,1.75,2018 W42
"343","RL",0.41,1.64,2018 W43
"344","RL",0.4,1.71,2018 W44
"345","RL",0.72,1.8,2018 W45
"346","RL",0.73,1.76,2018 W46
"347","RL",NA,NA,2018 W47
"348","RL",2.04,1.8,2018 W48
"349","RL",2.03,1.8,2018 W49
"350","RL",0.9,2,2018 W50
"351","RL",0.65,2,2018 W51
"352","RL",0.64,2,2018 W52
"353","RL",0.66,1.91,2019 W01
"354","RL",0.66,1.98,2019 W02
"355","RL",0.51,1.83,2019 W03
"356","RL",0.42,1.83,2019 W04
"357","RL",0.44,1.98,2019 W05
"358","RL",0.46,1.98,2019 W06
"359","RL",0.68,1.98,2019 W07
"360","RL",0.82,1.97,2019 W08
"361","RL",0.64,1.85,2019 W09
"362","RL",0.48,1.88,2019 W10
"363","RL",0.6,1.73,2019 W11
"364","RL",0.35,1.85,2019 W12
"365","RL",0.34,2,2019 W13
"366","RL",0.43,1.86,2019 W14
"367","RL",0.44,2.03,2019 W15
"368","RL",0.45,1.98,2019 W16
"369","RL",0.38,1.75,2019 W17
"370","RL",0.34,1.73,2019 W18
"371","RL",0.34,1.75,2019 W19
"372","RL",0.32,1.84,2019 W20
"373","RO",0.31,1.94,2017 W01
"374","RO",0.32,1.94,2017 W02
"375","RO",0.32,1.94,2017 W03
"376","RO",0.45,1.84,2017 W04
"377","RO",0.57,1.94,2017 W05
"378","RO",0.82,1.84,2017 W06
"379","RO",0.82,1.97,2017 W07
"380","RO",0.78,1.89,2017 W08
"381","RO",0.72,1.97,2017 W09
"382","RO",0.99,1.86,2017 W10
"383","RO",1.33,1.97,2017 W11
"384","RO",1.82,1.97,2017 W12
"385","RO",2.09,2.02,2017 W13
"386","RO",2.11,2.47,2017 W14
"387","RO",1.82,2.31,2017 W15
"388","RO",0.88,2.4,2017 W16
"389","RO",0.52,2.36,2017 W17
"390","RO",0.45,2.47,2017 W18
"391","RO",0.4,1.41,2017 W19
"392","RO",0.36,2.47,2017 W20
"393","RO",0.28,2.29,2017 W21
"394","RO",0.28,2.33,2017 W22
"395","RO",0.29,2.47,2017 W23
"396","RO",0.35,2.36,2017 W24
"397","RO",0.35,2.4,2017 W25
"398","RO",0.35,2.36,2017 W26
"399","RO",0.35,1.93,2017 W27
"400","RO",0.3,1.66,2017 W28
"401","RO",0.32,1.78,2017 W29
"402","RO",0.31,1.98,2017 W30
"403","RO",0.31,2.1,2017 W31
"404","RO",0.32,1.98,2017 W32
"405","RO",0.32,2.1,2017 W33
"406","RO",0.42,2.01,2017 W34
"407","RO",0.49,1.98,2017 W35
"408","RO",0.36,2.1,2017 W36
"409","RO",0.39,1.98,2017 W37
"410","RO",0.56,2.16,2017 W38
"411","RO",0.78,1.91,2017 W39
"412","RO",0.86,2.13,2017 W40
"413","RO",0.78,1.93,2017 W41
"414","RO",0.53,2.23,2017 W42
"415","RO",0.47,2.01,2017 W43
"416","RO",0.38,2.13,2017 W44
"417","RO",0.35,2.01,2017 W45
"418","RO",0.35,2.27,2017 W46
"419","RO",0.31,2.18,2017 W47
"420","RO",0.33,2.09,2017 W48
"421","RO",0.34,2.47,2017 W49
"422","RO",0.34,2.07,2017 W50
"423","RO",0.32,2.47,2017 W51
"424","RO",0.35,2.41,2017 W52
"425","RO",0.34,2.07,2018 W01
"426","RO",0.29,2.19,2018 W02
"427","RO",0.28,2.07,2018 W03
"428","RO",0.28,2.19,2018 W04
"429","RO",0.3,2.19,2018 W05
"430","RO",0.3,2.07,2018 W06
"431","RO",0.38,2.19,2018 W07
"432","RO",0.78,2.09,2018 W08
"433","RO",NA,NA,2018 W09
"434","RO",0.9,2.09,2018 W10
"435","RO",0.73,2.22,2018 W11
"436","RO",0.68,2.09,2018 W12
"437","RO",0.67,2.22,2018 W13
"438","RO",0.77,2.09,2018 W14
"439","RO",0.72,2.22,2018 W15
"440","RO",0.5,2.09,2018 W16
"441","RO",0.34,2.22,2018 W17
"442","RO",0.32,2.17,2018 W18
"443","RO",0.3,2.07,2018 W19
"444","RO",0.3,1.99,2018 W20
"445","RO",0.31,2.07,2018 W21
"446","RO",0.3,2.09,2018 W22
"447","RO",0.28,2.09,2018 W23
"448","RO",0.3,2.09,2018 W24
"449","RO",0.31,1.99,2018 W25
"450","RO",0.31,2.09,2018 W26
"451","RO",0.32,1.84,2018 W27
"452","RO",0.31,2.16,2018 W28
"453","RO",0.3,1.99,2018 W29
"454","RO",0.29,2.16,2018 W30
"455","RO",0.29,1.82,2018 W31
"456","RO",0.34,2.09,2018 W32
"457","RO",0.39,1.99,2018 W33
"458","RO",0.38,2.06,2018 W34
"459","RO",0.39,2.16,2018 W35
"460","RO",0.39,1.99,2018 W36
"461","RO",0.39,2.09,2018 W37
"462","RO",0.44,1.99,2018 W38
"463","RO",0.52,2.09,2018 W39
"464","RO",0.57,1.99,2018 W40
"465","RO",0.49,2.16,2018 W41
"466","RO",0.59,1.99,2018 W42
"467","RO",0.96,2.06,2018 W43
"468","RO",1.07,2.09,2018 W44
"469","RO",1.06,2.04,2018 W45
"470","RO",NA,NA,2018 W46
"471","RO",NA,NA,2018 W47
"472","RO",1.01,2.14,2018 W48
"473","RO",0.63,2.14,2018 W49
"474","RO",0.35,2.22,2018 W50
"475","RO",0.35,2.09,2018 W51
"476","RO",0.34,2.22,2018 W52
"477","RO",0.36,2.22,2019 W01
"478","RO",0.35,2.22,2019 W02
"479","RO",0.33,2.25,2019 W03
"480","RO",0.32,2.25,2019 W04
"481","RO",0.35,2.2,2019 W05
"482","RO",0.4,2.2,2019 W06
"483","RO",0.6,2.2,2019 W07
"484","RO",0.79,2.04,2019 W08
"485","RO",0.7,2.2,2019 W09
"486","RO",0.49,2.28,2019 W10
"487","RO",0.43,2.12,2019 W11
"488","RO",0.34,2.12,2019 W12
"489","RO",0.39,2.12,2019 W13
"490","RO",0.46,2.28,2019 W14
"491","RO",0.56,2.12,2019 W15
"492","RO",0.51,2,2019 W16
"493","RO",0.39,2,2019 W17
"494","RO",0.36,2,2019 W18
"495","RO",0.36,2,2019 W19
"496","RO",0.35,2,2019 W20
